JP,adria-airways,Adria Airways
A3,aegean-airlines,Aegean Airlines
EI,aer-lingus,Aer Lingus
HA,aerocaribbean,Hawaiian Airlines
SU,aeroflot-russian-airlines,Aeroflot Russian Airlines
AR,aerolineas-argentinas,Aerolineas Argentinas
AM,aeromexico,AeroMéxico
VV,aerosur,Aerosvit Airlines
8U,afriqiyah-airways,Afriqiyah Airways
ZI,aigle-azur,Aigle Azur
AH,air-algerie,Air Algerie
G9,air-arabia,Air Arabia
TS,air-astana,Air Transat
UU,air-austral,Air Austral
NY,air-bagan,Air Iceland
AB,air-berlin,Air Berlin
MU,air-botswana,China Eastern Airlines
BX,air-busan,Air Busan
SM,air-cairo-user,Spirit of Manila Airlines
AC,air-canada,Air Canada
RV,air-canada-rouge,Caspian Airlines
TX,air-caraibes,Air Caraïbes
CA,air-china,Air China
XK,air-corsica,Corse-Mediterranee
EN,air-dolomiti,Air Dolomiti
UX,air-europa,Air Europa
AF,air-france,Air France
KU,air-greenland,Kuwait Airways
AI,air-india,Air India Limited
IX,air-india-express,Air India Express
FN,air-koryo,Regional Airlines
WJ,air-labrador,WebJet Linhas A
NX,air-macau,Air Macau
MD,air-madagascar,Air Madagascar
QM,air-malawi,Air Malawi
KM,air-malta,Air Malta
MK,air-mauritius,Air Mauritius
DR,air-mediterranee,Air Mediterranee
ME,air-memphis,Middle East Airlines
9U,air-moldova,Air Moldova
SW,air-namibia,Air Namibia
NZ,air-new-zealand,Air New Zealand
PX,air-niugini,Air Niugini
4N,air-north-yukons-airline,Air North Charter - Canada
YW,air-nostrum,Air Nostrum
JU,air-serbia,Air Serbia
HM,air-seychelles,Air Seychelles
TN,air-tahiti-nui,Air Tahiti Nui
TS,air-transat,Air Transat
VL,air-vanuata,Air VIA
UM,air-zimbabwe,Air Zimbabwe
AK,airasia,AirAsia
XJ,airasia-x,Mesaba Airlines
Z2,airasia-zest,Zest Air
BT,airbaltic,Air Baltic
PA,air-blue,Parmiss Airlines (IPV)
NO,aircalin,North Pacific Airlines
TL,airnorth,Trans Mediterranean Airlines
AN,alaska-airlines,Ansett Australia
AZ,alitalia,Alitalia
G4,allegiant-air,Allegiant Air
AA,american-airlines,American Airlines
MQ,american-eagle,American Eagle Airlines
NH,ana-all-nippon-airways,All Nippon Airways
TK,anadolujet,Turkish Airlines
W3,arik-air,World Scale Airlines
OR,arkefly,Arkefly
IZ,arkia-israeli,Arkia Israel Airlines
OZ,asiana-airlines,Ozark Air Lines
KP,asky-airlines,Dense Airways
RC,atlantic-airways,Atlantic Airways
KK,atlasjet-airlines,Atlasjet
GC,aurigny-air,Lina Congo
OS,austrian-airlines,Austrian Airlines
AV,avianca,Avianca - Aerovias Nacionales de Colombia
O6,avianca-brasil,Oceanair
2K,aerogal-aerolineas-galapagos,Aerolineas Galapagos (Aerogal)
9V,avior-airlines,Volotea Costa Rica
J2,azerbaijan-airlines,Azerbaijan Airlines
AD,azul-linhas-aereas-brasileiras,Azul
CJ,ba-cityflyer,BA CityFlyer
UP,bahamasair,Bahamasair
PG,bangkok-airways,Bangkok Airways
JD,beijing-capital-airlines,Japan Air System
B2,belavia,Belavia Belarusian Airlines
BV,berjaya-air,Blue Panorama Airlines
JA,bh-airlines,B&H Airlines
B3,bhutan-airlines,Bellview Airlines
BG,biman-bangladesh,Biman Bangladesh Airlines
NT,binter-canarias,Binter Canarias
PV,bluexpress,PAN Air
0B,blue-air,Blue Air
SI,blue-islands,Skynet Airlines
BV,blue-panorama-airlines,Blue Panorama Airlines
KF,blue1,Blue1
BD,bmi-british-midland-international,bmi
BD,bmi-regional,bmi
OB,boliviana-de-aviacin,Astrakhan Airlines
BA,british-airways,British Airways
SN,brussels-airlines,Brussels Airlines
U4,buddha-air,PMTair
FB,bulgaria-air,Bulgaria Air
BE,buraq,Flybe
K6,cambodia-angkor-airlines,Cambodia Angkor Air (K6)
5T,canadian-north,Canadian North
PO,canjet-airlines,FlyPortugal
9K,cape-air,Cape Air
BW,caribbean-airlines,Caribbean Airlines
V3,carpatair,Carpatair
CX,cathay-pacific-airways,Cathay Pacific
GC,cayman-airways,Lina Congo
5J,cebu-pacific,Cebu Pacific
CI,china-airlines,China Airlines
MU,china-eastern-airlines,China Eastern Airlines
CZ,china-southern-airlines,China Southern Airlines
KN,china-united-airlines,China United
WX,cityjet,CityJet
MN,comair,Comair
DE,condor-airlines,Condor Flugdienst
CO,continental-airlines,Continental Express
V0,conviasa,Conviasa
CM,copa-airlines,Copa Airlines
SS,corsair,Corsairfly
OU,croatia-airlines,Croatia Airlines
OK,csa-czech-airlines,Czech Airlines
CU,cubana-airlines,Cubana de Aviación
DX,danish-air,DAT Danish Air Transport
DR,darwin,Air Mediterranee
DL,delta-air-lines,Delta Air Lines
Z6,dniproavia,ZABAIKAL AIRLINES
KA,dragonair,Dragonair
ZE,eastarjet,Eastar Jet
T3,eastern-airways,Eastern Airways
U2,easyjet,United Feeder Service
WK,edelweiss-air,Edelweiss Air
MS,egyptair,Egyptair
